"","State","EfficiencyScore","gCo2pkWh","netKWhGeneration","gCo2","millionTonsOfCO2","AverageRetailPrice.cents.kWh.","TotalRetailSales.MWh.","NetSummerCapacity.MW.","NetGeneration.MWh."
"1","Connecticut",98.423192119839,859.383911390179,43054099000,3.7e+13,37,21.08,27767146,10108,43054099
"2","Maine",96.4506454818965,1167.35297620167,12763920000,1.49e+13,14.9,17.44,11875708,5126,12763920
"3","Massachusetts",85.8939812148313,2815.5401264168,21026161000,5.92e+13,59.2,21.27,50983440,12767,21026161
"4","New Hampshire",99.2170838730991,735.435460129193,18764393000,1.38e+13,13.8,21.07,10818130,4463,18764393
"5","New Jersey",94.8212245843754,1421.75062660008,65060636000,9.25e+13,92.5,14.8,74442735,16712,65060636
"6","New York",95.4291770749332,1326.83243487499,125185363000,1.661e+14,166.1,18.33,143210517,39689,125185363
"7","Pennsylvania",98.2121688094084,892.33048427047,239261130000,2.135e+14,213.5,11.86,145044592,49066,239261130
"8","Rhode Island",95.5726047867694,1304.43940373819,7819451000,1.02e+13,10.2,19.3,7576284,2162,7819451
"9","Vermont",87.7964496306509,2518.51220951824,2183829000,5.5e+12,5.5,16.99,5470471,839,2183829
