make,model,year,fuelType,cityMpkWh,highwayMpKwh,combMpKwh,gCo2pM
BMW,iX xDrive50 (20 inch wheels),2022,Electricity,2.5607604434212785,2.5694985109756128,2.5646878390196735,0
BMW,iX xDrive50 (21 inch wheels),2022,Electricity,2.4428734054143844,2.477805061164618,2.458470290615773,0
BMW,iX xDrive50 (22 inch wheels),2022,Electricity,2.556394052804875,2.534565131987479,2.5465250119686678,0
Ford,Mustang Mach-E AWD,2022,Electricity,2.9411764705882355,2.554741728384969,2.7537361314964075,0
Ford,Mustang Mach-E AWD Extended,2022,Electricity,2.880657250758333,2.5,2.6959337231653495,0
Ford,Mustang Mach-E CAL RT 1 ER AWD,2022,Electricity,3.0973465032506655,2.7131814494357935,2.911810010220453,0
Ford,Mustang Mach-E CAL RT 1 ER RWD,2022,Electricity,3.1963484914833296,2.788847954798352,2.9991392470361005,0
Ford,Mustang Mach-E GT,2022,Electricity,2.6717536856842092,2.2950834721858837,2.4880016122250446,0
Ford,Mustang Mach-E GT Performance,2022,Electricity,2.6119412731124156,2.2364210107281117,2.42844584322925,0
Ford,Mustang Mach-E RWD,2022,Electricity,3.2710310944215837,2.845524985132132,3.0647959152400044,0
Ford,Mustang Mach-E RWD Extended,2022,Electricity,3.0836977236143404,2.6819933647484158,2.8889794102437434,0
Tesla,Model Y AWD,2022,Electricity,3.812588404393627,3.438848673464124,3.6348171868695864,0
Volkswagen,ID.4 AWD Pro,2022,Electricity,3.1318803496431222,2.8473479800913433,2.997107790981703,0
Volkswagen,ID.4 AWD Pro S,2022,Electricity,2.951193167397579,2.6728962969694705,2.8191090487762245,0
Volkswagen,ID.4 Pro,2022,Electricity,3.4482758620689653,2.857142857142857,3.125,0
Ford,F-150 Lightning Platinum 4WD,2022,Electricity,2.167180649677415,1.7766501971193394,1.972110414517888,0
Ford,F-150 Lightning 4WD Extended Range,2022,Electricity,2.310231785555045,1.8666676622227534,2.0870596043352405,0
Ford,F-150 Lightning 4WD,2022,Electricity,2.2580652445371756,1.7994867863685278,2.0257554548530012,0
Volkswagen,ID.4 Pro S,2022,Electricity,3.225806451612903,2.7777777777777777,3.0303030303030303,0
Porsche,Taycan GTS,2022,Electricity,2.4714424821191137,2.4402921517764105,2.4573284907579875,0
Porsche,Taycan GTS ST,2022,Electricity,2.3821377780848088,2.367603606333813,2.3755734040303977,0
Mercedes-Benz,AMG EQS 4matic Plus,2022,Electricity,2.2471455633481567,2.3073745999589286,2.273853863959871,0
Mercedes-Benz,EQB 300 4matic,2022,Electricity,3.0707720842251365,2.9209787615634246,3.0015067563917084,0
Mercedes-Benz,EQB 350 4matic,2022,Electricity,2.9411764705882355,2.7777777777777777,2.857142857142857,0
